       Step     Time          Energy          fmax
MDMin:    0 12:28:37      109.254772       68.294429
MDMin:    1 12:28:37       78.942422       19.169342
MDMin:    2 12:28:37       54.870986        6.936236
MDMin:    3 12:28:37       39.933793        5.582043
MDMin:    4 12:28:37       34.507808        3.575013
MDMin:    5 12:28:37       30.344260        3.076603
MDMin:    6 12:28:37       27.675802        2.716844
MDMin:    7 12:28:37       25.673885        2.412147
MDMin:    8 12:28:37       24.062178        2.153789
MDMin:    9 12:28:37       22.708258        1.937487
MDMin:   10 12:28:37       21.538077        1.758064
MDMin:   11 12:28:37       20.509464        1.609225
MDMin:   12 12:28:37       19.597054        1.484302
MDMin:   13 12:28:37       18.784658        1.398311
MDMin:   14 12:28:37       18.069210        1.377255
MDMin:   15 12:28:37       17.458872        1.358799
MDMin:   16 12:28:37       16.934556        1.341258
MDMin:   17 12:28:37       16.480611        1.323723
MDMin:   18 12:28:37       16.081127        1.305586
MDMin:   19 12:28:37       15.723499        1.286580
MDMin:   20 12:28:37       15.399903        1.266726
MDMin:   21 12:28:37       15.105490        1.246133
MDMin:   22 12:28:37       14.836774        1.224873
MDMin:   23 12:28:37       14.590870        1.202957
MDMin:   24 12:28:37       14.364843        1.180323
MDMin:   25 12:28:37       14.155319        1.156835
MDMin:   26 12:28:37       13.958763        1.132317
MDMin:   27 12:28:37       13.772210        1.106597
MDMin:   28 12:28:37       13.593759        1.079545
MDMin:   29 12:28:37       13.422583        1.051061
MDMin:   30 12:28:37       13.258929        1.021069
MDMin:   31 12:28:37       13.104256        0.989517
       Step     Time          Energy          fmax
MDMin:    0 12:49:47        6.630142        3.832185
MDMin:    1 12:49:47        5.473322        2.410067
MDMin:    2 12:49:47        3.924554        1.481064
MDMin:    3 12:49:47        3.110397        1.232556
MDMin:    4 12:49:47        2.693519        1.092080
MDMin:    5 12:49:47        2.458316        1.016705
MDMin:    6 12:49:47        2.339611        1.005039
MDMin:    7 12:49:47        2.296050        0.995873
       Step     Time          Energy          fmax
MDMin:    0 12:57:07      127.750958       52.959861
MDMin:    1 12:57:07       87.754312       19.955775
MDMin:    2 12:57:07       59.518716       10.048676
MDMin:    3 12:57:07       45.421287        4.551938
MDMin:    4 12:57:07       41.612245        4.942807
MDMin:    5 12:57:07       35.738882        4.751706
MDMin:    6 12:57:07       30.256398        3.615684
MDMin:    7 12:57:07       24.941013        4.039981
MDMin:    8 12:57:07       20.229732        3.295531
MDMin:    9 12:57:07       16.722283        2.680103
MDMin:   10 12:57:07       13.981401        2.160231
MDMin:   11 12:57:07       11.786008        1.888540
MDMin:   12 12:57:07       10.136370        1.787932
MDMin:   13 12:57:07        8.944106        1.680742
MDMin:   14 12:57:07        8.040943        1.569530
MDMin:   15 12:57:07        7.342091        1.455270
MDMin:   16 12:57:07        6.796820        1.339162
MDMin:   17 12:57:07        6.368665        1.223240
MDMin:   18 12:57:07        6.028523        1.114946
MDMin:   19 12:57:07        5.755447        1.074265
MDMin:   20 12:57:07        5.546646        1.028577
MDMin:   21 12:57:07        5.384897        0.977475
       Step     Time          Energy          fmax
MDMin:    0 13:01:30      107.082443       22.842581
MDMin:    1 13:01:30       74.652567        9.459755
MDMin:    2 13:01:30       51.875078        5.187115
MDMin:    3 13:01:30       38.170049        3.645381
MDMin:    4 13:01:30       30.429814        2.859161
MDMin:    5 13:01:30       25.803594        2.193219
MDMin:    6 13:01:30       22.863975        1.757364
MDMin:    7 13:01:30       20.834098        1.491588
MDMin:    8 13:01:30       19.324069        1.310173
MDMin:    9 13:01:30       18.166819        1.211448
MDMin:   10 13:01:30       17.287500        1.181693
MDMin:   11 13:01:30       16.600628        1.150710
MDMin:   12 13:01:30       16.000866        1.116541
MDMin:   13 13:01:30       15.428430        1.078795
MDMin:   14 13:01:30       14.854335        1.038312
MDMin:   15 13:01:30       14.268740        1.025233
MDMin:   16 13:01:30       13.692632        1.012979
MDMin:   17 13:01:30       13.139823        0.974079
       Step     Time          Energy          fmax
MDMin:    0 13:18:17       25.579549       26.433472
MDMin:    1 13:18:17       14.502444        8.536754
MDMin:    2 13:18:17        8.591032        3.582569
MDMin:    3 13:18:17        7.884374        1.655576
MDMin:    4 13:18:17        7.495751        2.204532
MDMin:    5 13:18:17        6.969625        2.418892
MDMin:    6 13:18:17        5.965480        2.090958
MDMin:    7 13:18:17        5.047553        1.448781
MDMin:    8 13:18:17        4.246452        1.092120
MDMin:    9 13:18:17        3.620768        1.087809
MDMin:   10 13:18:17        3.190636        1.081076
MDMin:   11 13:18:17        2.849612        1.074239
MDMin:   12 13:18:17        2.562631        1.068128
MDMin:   13 13:18:17        2.316272        1.062245
MDMin:   14 13:18:17        2.102909        1.055857
MDMin:   15 13:18:17        1.917093        1.048379
MDMin:   16 13:18:17        1.754500        1.039542
MDMin:   17 13:18:17        1.611586        1.029424
MDMin:   18 13:18:17        1.485428        1.018362
MDMin:   19 13:18:17        1.373618        1.006826
MDMin:   20 13:18:17        1.274170        0.995316
       Step     Time          Energy          fmax
MDMin:    0 13:24:20       75.646273       36.804543
MDMin:    1 13:24:20       50.252735       13.056335
MDMin:    2 13:24:20       34.264901        6.196175
MDMin:    3 13:24:20       25.897334        2.717062
MDMin:    4 13:24:20       23.733802        3.176681
MDMin:    5 13:24:20       20.771241        2.906601
MDMin:    6 13:24:20       17.046201        2.638683
MDMin:    7 13:24:20       13.899903        1.764490
MDMin:    8 13:24:20       11.061262        1.429137
MDMin:    9 13:24:20        8.620172        1.126714
MDMin:   10 13:24:20        6.920200        1.018357
MDMin:   11 13:24:20        5.764287        1.065530
MDMin:   12 13:24:20        4.996663        1.087955
MDMin:   13 13:24:20        4.433584        1.099840
MDMin:   14 13:24:20        3.995453        1.107703
MDMin:   15 13:24:20        3.640919        1.112831
MDMin:   16 13:24:20        3.345665        1.112999
MDMin:   17 13:24:20        3.093945        1.106438
MDMin:   18 13:24:20        2.875115        1.094386
MDMin:   19 13:24:20        2.682054        1.079355
MDMin:   20 13:24:20        2.509982        1.063230
MDMin:   21 13:24:21        2.355553        1.047134
MDMin:   22 13:24:21        2.216303        1.031781
MDMin:   23 13:24:21        2.090345        1.017641
MDMin:   24 13:24:21        1.976191        1.004970
MDMin:   25 13:24:21        1.872624        0.993809
       Step     Time          Energy          fmax
MDMin:    0 13:30:07       95.770453       50.247474
MDMin:    1 13:30:07       67.601374       18.971471
MDMin:    2 13:30:07       46.620127       10.888205
MDMin:    3 13:30:07       35.948371        6.581238
MDMin:    4 13:30:07       33.033160        2.861115
MDMin:    5 13:30:07       28.862408        4.430731
MDMin:    6 13:30:07       24.116663        3.458582
MDMin:    7 13:30:07       19.884160        2.522909
MDMin:    8 13:30:07       17.189890        2.739675
MDMin:    9 13:30:07       15.364455        2.614706
MDMin:   10 13:30:07       13.854268        2.549385
MDMin:   11 13:30:07       12.603674        2.517868
MDMin:   12 13:30:07       11.581785        2.504340
MDMin:   13 13:30:07       10.735960        2.492523
MDMin:   14 13:30:07       10.056488        2.510172
MDMin:   15 13:30:07        9.518230        2.510188
MDMin:   16 13:30:07        9.091370        2.459379
MDMin:   17 13:30:07        8.747698        2.352180
MDMin:   18 13:30:07        8.468454        2.194406
MDMin:   19 13:30:07        8.244355        1.998644
MDMin:   20 13:30:07        8.072956        1.780827
MDMin:   21 13:30:07        7.956013        1.558382
MDMin:   22 13:30:07        7.897073        1.351635
MDMin:   23 13:30:07        7.895663        1.306964
MDMin:   24 13:30:07        7.931119        1.261451
MDMin:   25 13:30:07        7.976765        1.214828
MDMin:   26 13:30:07        8.025131        1.166867
MDMin:   27 13:30:07        8.079440        1.117903
MDMin:   28 13:30:07        8.142753        1.068435
MDMin:   29 13:30:07        8.216183        1.018929
MDMin:   30 13:30:07        8.300689        0.969780
       Step     Time          Energy          fmax
MDMin:    0 13:42:48        5.307772        2.721489
MDMin:    1 13:42:48        5.039146        2.136023
MDMin:    2 13:42:48        4.528424        1.867238
MDMin:    3 13:42:48        4.071471        1.714118
MDMin:    4 13:42:48        3.743317        1.593994
MDMin:    5 13:42:48        3.465057        1.491654
MDMin:    6 13:42:48        3.213996        1.400298
MDMin:    7 13:42:48        2.979804        1.316242
MDMin:    8 13:42:48        2.757796        1.237579
MDMin:    9 13:42:48        2.546203        1.163396
MDMin:   10 13:42:48        2.344807        1.093317
MDMin:   11 13:42:48        2.154255        1.027238
MDMin:   12 13:42:48        1.975688        0.965169
       Step     Time          Energy          fmax
MDMin:    0 13:46:09       46.539594       10.931667
MDMin:    1 13:46:09       36.596703        5.517667
MDMin:    2 13:46:09       30.193195        3.868576
MDMin:    3 13:46:09       26.072242        3.053920
MDMin:    4 13:46:09       23.179967        2.567537
MDMin:    5 13:46:09       20.928397        2.309695
MDMin:    6 13:46:09       19.035629        2.140806
MDMin:    7 13:46:09       17.368082        1.994555
MDMin:    8 13:46:09       15.897619        1.855584
MDMin:    9 13:46:09       14.653096        1.738179
MDMin:   10 13:46:09       13.627776        1.651726
MDMin:   11 13:46:09       12.789213        1.600301
MDMin:   12 13:46:09       12.094181        1.543944
MDMin:   13 13:46:09       11.496772        1.480861
MDMin:   14 13:46:09       10.971048        1.409944
MDMin:   15 13:46:09       10.499983        1.338101
MDMin:   16 13:46:09       10.070420        1.299083
MDMin:   17 13:46:09        9.678982        1.262827
MDMin:   18 13:46:09        9.313767        1.227569
MDMin:   19 13:46:09        8.967134        1.192211
MDMin:   20 13:46:09        8.634802        1.156210
MDMin:   21 13:46:09        8.314359        1.119399
MDMin:   22 13:46:09        8.004470        1.081891
MDMin:   23 13:46:09        7.704432        1.044000
